	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_18001_9.txt	18001	9	20.0	45.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_0.txt	20000	0	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_1.txt	20000	1	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_2.txt	20000	2	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_3.txt	20000	3	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_4.txt	20000	4	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_5.txt	20000	5	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_20000_6.txt	20000	6	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_7.txt	20000	7	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_8.txt	20000	8	20.0	46.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_20000_9.txt	20000	9	20.0	46.0	26.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
