"","Genus","Present in Bewell?","Present in Mimic?","Present in Both?"
"599","g_unclassified_f_unclassified_Nostocales","N","Y","N"
"600","g_unclassified_f_unclassified_o_unclassified_0319-7L14","N","Y","N"
"601","g_unclassified_f_unclassified_o_unclassified_Acidimicrobiia","N","Y","N"
"602","g_unclassified_f_unclassified_o_unclassified_Actinobacteria","N","Y","N"
"603","g_unclassified_f_unclassified_o_unclassified_Agaricomycetes","N","Y","N"
"604","g_unclassified_f_unclassified_o_unclassified_Alphaproteobacteria","N","Y","N"
"605","g_unclassified_f_unclassified_o_unclassified_Anaerolineae","N","Y","N"
"606","g_unclassified_f_unclassified_o_unclassified_Bacilli","N","Y","N"
"607","g_unclassified_f_unclassified_o_unclassified_Bacteroidia","N","Y","N"
"608","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Actinobacteria","N","Y","N"
"609","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Armatimonadetes","N","Y","N"
"610","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Bacteroidetes","N","Y","N"
"611","g_unclassified_f_unclassified_o_unclassified_c_unclassified_BRC1","N","Y","N"
"612","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Cercozoa","N","Y","N"
"613","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Chloroflexi","N","Y","N"
"614","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Euglenozoa","N","Y","N"
"615","g_unclassified_f_unclassified_o_unclassified_c_unclassified_FBP","N","Y","N"
"616","g_unclassified_f_unclassified_o_unclassified_c_unclassified_FCPU426","N","Y","N"
"617","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Firmicutes","N","Y","N"
"618","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Latescibacteria","N","Y","N"
"619","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Marinimicrobia_(SAR406_clade)","N","Y","N"
"620","g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_Bacteria","N","Y","N"
"621","g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_Eukaryota","N","Y","N"
"622","g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_NA","N","Y","N"
"623","g_unclassified_f_unclassified_o_unclassified_c_unclassified_Proteobacteria","N","Y","N"
"624","g_unclassified_f_unclassified_o_unclassified_c_unclassified_RsaHf231","N","Y","N"
"625","g_unclassified_f_unclassified_o_unclassified_Chloroflexia","N","Y","N"
"626","g_unclassified_f_unclassified_o_unclassified_Clostridia","N","Y","N"
"627","g_unclassified_f_unclassified_o_unclassified_Deltaproteobacteria","N","Y","N"
